profundidade, Hreal, Himag, rho 
 -0.1150000000000000E+02, -0.7607078962348543E-01, -0.6526753381414163E-05, 100.0
 -0.1139999961853027E+02, -0.7607080167001311E-01, -0.6633276129038108E-05, 100.0
 -0.1130000019073486E+02, -0.7607081399243609E-01, -0.6744923779567596E-05, 100.0
 -0.1119999980926514E+02, -0.7607082660089270E-01, -0.6862043903100164E-05, 100.0
 -0.1110000038146973E+02, -0.7607083950607739E-01, -0.6985015158365392E-05, 100.0
 -0.1100000000000000E+02, -0.7607085271928113E-01, -0.7114250793392773E-05, 100.0
 -0.1089999961853027E+02, -0.7607086625243761E-01, -0.7250202626783939E-05, 100.0
 -0.1080000019073486E+02, -0.7607088011817351E-01, -0.7393365587277898E-05, 100.0
 -0.1069999980926514E+02, -0.7607089432986304E-01, -0.7544282905662855E-05, 100.0
 -0.1060000038146973E+02, -0.7607090890168980E-01, -0.7703552069906375E-05, 100.0
 -0.1050000000000000E+02, -0.7607092384871200E-01, -0.7871831677943297E-05, 100.0
 -0.1039999961853027E+02, -0.7607093918693919E-01, -0.8049849349044134E-05, 100.0
 -0.1030000019073486E+02, -0.7607095493341266E-01, -0.8238410889096566E-05, 100.0
 -0.1019999980926514E+02, -0.7607097110629897E-01, -0.8438410947518900E-05, 100.0
 -0.1010000038146973E+02, -0.7607098772499084E-01, -0.8650845455737282E-05, 100.0
 -0.1000000000000000E+02, -0.7607100481022212E-01, -0.8876826204030502E-05, 100.0
 -0.9899999618530273E+01, -0.7607102238419647E-01, -0.9117597997131123E-05, 100.0
 -0.9800000190734863E+01, -0.7607104047073072E-01, -0.9374558935424622E-05, 100.0
 -0.9699999809265137E+01, -0.7607105909541864E-01, -0.9649284506095978E-05, 100.0
 -0.9600000381469727E+01, -0.7607107828581297E-01, -0.9943556343528241E-05, 100.0
 -0.9500000000000000E+01, -0.7607109807163592E-01, -0.1025939674856763E-04, 100.0
 -0.9399999618530273E+01, -0.7607111848501767E-01, -0.1059911035564888E-04, 100.0
 -0.9300000190734863E+01, -0.7607113956076739E-01, -0.1096533473311057E-04, 100.0
 -0.9199999809265137E+01, -0.7607116133668612E-01, -0.1136110223040069E-04, 100.0
 -0.9100000381469727E+01, -0.7607118385392893E-01, -0.1178991609580713E-04, 100.0
 -0.9000000000000000E+01, -0.7607120715742280E-01, -0.1225584485478460E-04, 100.0
 -0.8899999618530273E+01, -0.7607123129635486E-01, -0.1276364026487970E-04, 100.0
 -0.8800000190734863E+01, -0.7607125632474329E-01, -0.1331888600832996E-04, 100.0
 -0.8699999809265137E+01, -0.7607128230211299E-01, -0.1392818687915248E-04, 100.0
 -0.8600000381469727E+01, -0.7607130929429516E-01, -0.1459941192791926E-04, 100.0
 -0.8500000000000000E+01, -0.7607133737438251E-01, -0.1534201039233785E-04, 100.0
 -0.8399999618530273E+01, -0.7607136662388334E-01, -0.1616742714074657E-04, 100.0
 -0.8300000190734863E+01, -0.7607139713411692E-01, -0.1708965618148532E-04, 100.0
 -0.8199999809265137E+01, -0.7607142900793519E-01, -0.1812598884867457E-04, 100.0
 -0.8100000381469727E+01, -0.7607146236184273E-01, -0.1929804142700978E-04, 100.0
 -0.8000000000000000E+01, -0.7607149732866607E-01, -0.2063319191248991E-04, 100.0
 -0.7900000095367432E+01, -0.7607153406093568E-01, -0.2216662920831666E-04, 100.0
 -0.7800000190734863E+01, -0.7607157273524838E-01, -0.2394434217787718E-04, 100.0
 -0.7699999809265137E+01, -0.7607161355798134E-01, -0.2602759226907360E-04, 100.0
 -0.7599999904632568E+01, -0.7607165677292575E-01, -0.2849980463778485E-04, 100.0
 -0.7500000000000000E+01, -0.7607170267171029E-01, -0.3147755117974977E-04, 100.0
 -0.7400000095367432E+01, -0.7607175160841055E-01, -0.3512876366185387E-04, 100.0
 -0.7300000190734863E+01, -0.7607180402066760E-01, -0.3970439438372851E-04, 100.0
 -0.7199999809265137E+01, -0.7607186046137826E-01, -0.4559667883119678E-04, 100.0
 -0.7099999904632568E+01, -0.7607192164848536E-01, -0.5345415059329595E-04, 100.0
 -0.7000000000000000E+01, -0.7607198854788809E-01, -0.6442975790241493E-04, 100.0
 -0.6900000095367432E+01, -0.7607196701287491E-01, -0.5168437433125344E-04, 100.0
 -0.6800000190734863E+01, -0.7607194104218963E-01, -0.3893491840739469E-04, 100.0
 -0.6699999809265137E+01, -0.7607191062265033E-01, -0.2618114053098559E-04, 100.0
 -0.6599999904632568E+01, -0.7607187574029237E-01, -0.1342277104563640E-04, 100.0
 -0.6500000000000000E+01, -0.7607183638030673E-01, -0.6595182294770223E-06, 100.0
 -0.6400000095367432E+01, -0.7607179252697542E-01,  0.1210893396382554E-04,   1.2
