profundidade, Hreal, Himag, rho 
 -0.1150000000000000E+02, -0.7607078786946608E-01, -0.6524775708783868E-05, 100.0
 -0.1139999961853027E+02, -0.7607079989854301E-01, -0.6631264457146680E-05, 100.0
 -0.1130000019073486E+02, -0.7607081220321237E-01, -0.6742877251358243E-05, 100.0
 -0.1119999980926514E+02, -0.7607082479360520E-01, -0.6859961632968360E-05, 100.0
 -0.1110000038146973E+02, -0.7607083768040838E-01, -0.6982896230834148E-05, 100.0
 -0.1100000000000000E+02, -0.7607085087490530E-01, -0.7112094261990699E-05, 100.0
 -0.1089999961853027E+02, -0.7607086438902153E-01, -0.7248007512656973E-05, 100.0
 -0.1080000019073486E+02, -0.7607087823537539E-01, -0.7391130877771104E-05, 100.0
 -0.1069999980926514E+02, -0.7607089242733259E-01, -0.7542007552953113E-05, 100.0
 -0.1060000038146973E+02, -0.7607090697906782E-01, -0.7701234989457283E-05, 100.0
 -0.1050000000000000E+02, -0.7607092190563042E-01, -0.7869471746874182E-05, 100.0
 -0.1039999961853027E+02, -0.7607093722301989E-01, -0.8047445404452168E-05, 100.0
 -0.1030000019073486E+02, -0.7607095294826868E-01, -0.8235961726275414E-05, 100.0
 -0.1019999980926514E+02, -0.7607096909953263E-01, -0.8435915318117248E-05, 100.0
 -0.1010000038146973E+02, -0.7607098569619442E-01, -0.8648302065705302E-05, 100.0
 -0.1000000000000000E+02, -0.7607100275897682E-01, -0.8874233711563918E-05, 100.0
 -0.9899999618530273E+01, -0.7607102031007254E-01, -0.9114955010491603E-05, 100.0
 -0.9800000190734863E+01, -0.7607103837328695E-01, -0.9371864010634642E-05, 100.0
 -0.9699999809265137E+01, -0.7607105697420175E-01, -0.9646536144360726E-05, 100.0
 -0.9600000381469727E+01, -0.7607107614035720E-01, -0.9940752988779820E-05, 100.0
 -0.9500000000000000E+01, -0.7607109590146324E-01, -0.1025653678459618E-04, 100.0
 -0.9399999618530273E+01, -0.7607111628963671E-01, -0.1059619210328417E-04, 100.0
 -0.9300000190734863E+01, -0.7607113733967272E-01, -0.1096235644710050E-04, 100.0
 -0.9199999809265137E+01, -0.7607115908935802E-01, -0.1135806209611393E-04, 100.0
 -0.9100000381469727E+01, -0.7607118157983317E-01, -0.1178681222578903E-04, 100.0
 -0.9000000000000000E+01, -0.7607120485600977E-01, -0.1225267528510992E-04, 100.0
 -0.8899999618530273E+01, -0.7607122896705903E-01, -0.1276040295120662E-04, 100.0
 -0.8800000190734863E+01, -0.7607125396698285E-01, -0.1331557882178868E-04, 100.0
 -0.8699999809265137E+01, -0.7607127991528884E-01, -0.1392480760191517E-04, 100.0
 -0.8600000381469727E+01, -0.7607130687779023E-01, -0.1459595824850108E-04, 100.0
 -0.8500000000000000E+01, -0.7607133492756162E-01, -0.1533847990067410E-04, 100.0
 -0.8399999618530273E+01, -0.7607136414609114E-01, -0.1616381732273755E-04, 100.0
 -0.8300000190734863E+01, -0.7607139462467923E-01, -0.1708596441351684E-04, 100.0
 -0.8199999809265137E+01, -0.7607142646615668E-01, -0.1812221239137562E-04, 100.0
 -0.8100000381469727E+01, -0.7607145978700557E-01, -0.1929417741893912E-04, 100.0
 -0.8000000000000000E+01, -0.7607149472003071E-01, -0.2062923736313132E-04, 100.0
 -0.7900000095367432E+01, -0.7607153141773856E-01, -0.2216258099075527E-04, 100.0
 -0.7800000190734863E+01, -0.7607157005670119E-01, -0.2394019702091900E-04, 100.0
 -0.7699999809265137E+01, -0.7607161084327044E-01, -0.2602334674874872E-04, 100.0
 -0.7599999904632568E+01, -0.7607165402121077E-01, -0.2849545516825784E-04, 100.0
 -0.7500000000000000E+01, -0.7607169988212294E-01, -0.3147309400355894E-04, 100.0
 -0.7400000095367432E+01, -0.7607174878005275E-01, -0.3512419483955026E-04, 100.0
 -0.7300000190734863E+01, -0.7607180115261139E-01, -0.3969970978252718E-04, 100.0
 -0.7199999809265137E+01, -0.7607185755266346E-01, -0.4559187411294409E-04, 100.0
 -0.7099999904632568E+01, -0.7607191869811837E-01, -0.5344922120133086E-04, 100.0
 -0.7000000000000000E+01, -0.7607198555483954E-01, -0.6442469904761785E-04, 100.0
 -0.6900000095367432E+01, -0.7607196389525711E-01, -0.5167886034694180E-04, 100.0
 -0.6800000190734863E+01, -0.7607193779932288E-01, -0.3892893953574892E-04, 100.0
 -0.6699999809265137E+01, -0.7607190725386337E-01, -0.2617468659691742E-04, 100.0
 -0.6599999904632568E+01, -0.7607187224492444E-01, -0.1341583143088498E-04, 100.0
 -0.6500000000000000E+01, -0.7607183275770697E-01, -0.6520818440353525E-06, 100.0
 -0.6400000095367432E+01, -0.7607178877650338E-01,  0.1211687871237733E-04,   1.2
 -0.6300000190734863E+01, -0.7607174028461797E-01,  0.2489139368399833E-04,   1.2
 -0.6199999809265137E+01, -0.7607168726428871E-01,  0.3767183627982689E-04,   1.2
 -0.6099999904632568E+01, -0.7607162969659402E-01,  0.5045861271347151E-04,   1.2
 -0.6000000000000000E+01, -0.7607156756135232E-01,  0.6325216587417446E-04,   1.2
 -0.5900000095367432E+01, -0.7607163641151207E-01,  0.1129413307527481E-04,   1.2
 -0.5800000190734863E+01, -0.7607170533032127E-01, -0.2584429552170900E-04,   1.2
 -0.5699999809265137E+01, -0.7607177328801341E-01, -0.5361352485354424E-04,   1.2
 -0.5599999904632568E+01, -0.7607183954255757E-01, -0.7507855647803359E-04,   1.2
 -0.5500000000000000E+01, -0.7607190353415422E-01, -0.9209213543014115E-04,   1.2
 -0.5400000095367432E+01, -0.7607196482624146E-01, -0.1058385464349716E-03,   1.2
 -0.5300000190734863E+01, -0.7607202306983080E-01, -0.1171090615229218E-03,   1.2
 -0.5199999809265137E+01, -0.7607207798064504E-01, -0.1264515976248035E-03,   1.2
 -0.5099999904632568E+01, -0.7607212932377466E-01, -0.1342567811492387E-03,   1.2
 -0.5000000000000000E+01, -0.7607217690300434E-01, -0.1408098158430706E-03,   1.2
 -0.4900000095367432E+01, -0.7607222055316692E-01, -0.1463229902563639E-03,   1.2
 -0.4800000190734863E+01, -0.7607226013453955E-01, -0.1509567347018321E-03,   1.2
 -0.4699999809265137E+01, -0.7607229552866124E-01, -0.1548336451879637E-03,   1.2
 -0.4599999904632568E+01, -0.7607232663516715E-01, -0.1580480412070565E-03,   1.2
 -0.4500000000000000E+01, -0.7607235336937783E-01, -0.1606726004865541E-03,   1.2
 -0.4400000095367432E+01, -0.7607237566044875E-01, -0.1627630255309294E-03,   1.2
 -0.4300000190734863E+01, -0.7607239344996046E-01, -0.1643613469132018E-03,   1.2
 -0.4199999809265137E+01, -0.7607240669086458E-01, -0.1654982533627297E-03,   1.2
 -0.4099999904632568E+01, -0.7607241534670865E-01, -0.1661947022716026E-03,   1.2
 -0.4000000000000000E+01, -0.7607241939111364E-01, -0.1664629743838005E-03,   1.2
 -0.3900000095367432E+01, -0.7607241880746798E-01, -0.1663072743421298E-03,   1.2
 -0.3799999952316284E+01, -0.7607241358881610E-01, -0.1657239328660344E-03,   1.2
 -0.3700000047683716E+01, -0.7607240373795218E-01, -0.1647012289090320E-03,   1.2
 -0.3599999904632568E+01, -0.7607238926770818E-01, -0.1632188154357000E-03,   1.2
 -0.3500000000000000E+01, -0.7607237020145659E-01, -0.1612466952917781E-03,   1.2
