profundidade, Hreal, Himag, rho 
 -0.1150000000000000E+02, -0.7607078819250354E-01, -0.6524806984255367E-05, 100.0
 -0.1139999961853027E+02, -0.7607080022193610E-01, -0.6631290087780183E-05, 100.0
 -0.1130000019073486E+02, -0.7607081252693110E-01, -0.6742896951956956E-05, 100.0
 -0.1119999980926514E+02, -0.7607082511761747E-01, -0.6859975103816429E-05, 100.0
 -0.1110000038146973E+02, -0.7607083800468024E-01, -0.6982903156941651E-05, 100.0
 -0.1100000000000000E+02, -0.7607085119940084E-01, -0.7112094312138400E-05, 100.0
 -0.1089999961853027E+02, -0.7607086471370328E-01, -0.7248000338440135E-05, 100.0
 -0.1080000019073486E+02, -0.7607087856020325E-01, -0.7391116112633050E-05, 100.0
 -0.1069999980926514E+02, -0.7607089275226492E-01, -0.7541984811051770E-05, 100.0
 -0.1060000038146973E+02, -0.7607090730405991E-01, -0.7701203864427518E-05, 100.0
 -0.1050000000000000E+02, -0.7607092223063541E-01, -0.7869431810692387E-05, 100.0
 -0.1039999961853027E+02, -0.7607093754798896E-01, -0.8047396206020199E-05, 100.0
 -0.1030000019073486E+02, -0.7607095327314915E-01, -0.8235902789979497E-05, 100.0
 -0.1019999980926514E+02, -0.7607096942426936E-01, -0.8435846142247517E-05, 100.0
 -0.1010000038146973E+02, -0.7607098602072918E-01, -0.8648222120900987E-05, 100.0
 -0.1000000000000000E+02, -0.7607100308324870E-01, -0.8874142438994153E-05, 100.0
 -0.9899999618530273E+01, -0.7607102063401631E-01, -0.9114851819843361E-05, 100.0
 -0.9800000190734863E+01, -0.7607103869683432E-01, -0.9371748278129196E-05, 100.0
 -0.9699999809265137E+01, -0.7607105729728050E-01, -0.9646407210595263E-05, 100.0
 -0.9600000381469727E+01, -0.7607107646289070E-01, -0.9940610156164219E-05, 100.0
 -0.9500000000000000E+01, -0.7607109622337072E-01, -0.1025637931499212E-04, 100.0
 -0.9399999618530273E+01, -0.7607111661083300E-01, -0.1059601921503238E-04, 100.0
 -0.9300000190734863E+01, -0.7607113766006719E-01, -0.1096216731215054E-04, 100.0
 -0.9199999809265137E+01, -0.7607115940885564E-01, -0.1135785583673767E-04, 100.0
