profundidade, Hreal, Himag, rho 
 -0.1150000000000000E+02, -0.7607121704786425E-01, -0.7819799587748576E-05, 100.0
 -0.1139999961853027E+02, -0.7607123792005385E-01, -0.7972990143298434E-05, 100.0
 -0.1130000019073486E+02, -0.7607125933509568E-01, -0.8133693016657554E-05, 100.0
 -0.1119999980926514E+02, -0.7607128131462268E-01, -0.8302421524963334E-05, 100.0
 -0.1110000038146973E+02, -0.7607130388149891E-01, -0.8479735025724052E-05, 100.0
 -0.1100000000000000E+02, -0.7607132705991405E-01, -0.8666244106758082E-05, 100.0
 -0.1089999961853027E+02, -0.7607135087548543E-01, -0.8862616488165515E-05, 100.0
 -0.1080000019073486E+02, -0.7607137535537030E-01, -0.9069583752868507E-05, 100.0
 -0.1069999980926514E+02, -0.7607140052839170E-01, -0.9287949044308077E-05, 100.0
 -0.1060000038146973E+02, -0.7607142642517335E-01, -0.9518595896381922E-05, 100.0
 -0.1050000000000000E+02, -0.7607145307829238E-01, -0.9762498394386902E-05, 100.0
 -0.1039999961853027E+02, -0.7607148052244751E-01, -0.1002073290641808E-04, 100.0
 -0.1030000019073486E+02, -0.7607150879464326E-01, -0.1029449167441248E-04, 100.0
 -0.1019999980926514E+02, -0.7607153793439790E-01, -0.1058509861768130E-04, 100.0
 -0.1010000038146973E+02, -0.7607156798397632E-01, -0.1089402777898092E-04, 100.0
 -0.1000000000000000E+02, -0.7607159898864560E-01, -0.1122292494247419E-04, 100.0
 -0.9899999618530273E+01, -0.7607163099696586E-01, -0.1157363307672745E-04, 100.0
 -0.9800000190734863E+01, -0.7607166406111560E-01, -0.1194822241420974E-04, 100.0
 -0.9699999809265137E+01, -0.7607169823726079E-01, -0.1234902618184563E-04, 100.0
 -0.9600000381469727E+01, -0.7607173358596822E-01, -0.1277868325838422E-04, 100.0
 -0.9500000000000000E+01, -0.7607177017268067E-01, -0.1324018937405090E-04, 100.0
 -0.9399999618530273E+01, -0.7607180806825210E-01, -0.1373695891346524E-04, 100.0
 -0.9300000190734863E+01, -0.7607184734956800E-01, -0.1427289997003368E-04, 100.0
 -0.9199999809265137E+01, -0.7607188810024781E-01, -0.1485250608448962E-04, 100.0
 -0.9100000381469727E+01, -0.7607193041146761E-01, -0.1548096915291865E-04, 100.0
 -0.9000000000000000E+01, -0.7607197438290379E-01, -0.1616431942315704E-04, 100.0
 -0.8899999618530273E+01, -0.7607202012383926E-01, -0.1690960046648486E-04, 100.0
 -0.8800000190734863E+01, -0.7607206775445757E-01, -0.1772508974731821E-04, 100.0
 -0.8699999809265137E+01, -0.7607211740736913E-01, -0.1862057926577192E-04, 100.0
