profundidade, Hreal, Himag, rho 
 -0.1150000000000000E+02, -0.7607094704367742E-01, -0.7053811934636329E-05, 100.0
 -0.1139999961853027E+02, -0.7607096227453583E-01, -0.7179145528451089E-05, 100.0
 -0.1130000019073486E+02, -0.7607097787625638E-01, -0.7310561828585181E-05, 100.0
 -0.1119999980926514E+02, -0.7607099386303659E-01, -0.7448474783733328E-05, 100.0
 -0.1110000038146973E+02, -0.7607101024986808E-01, -0.7593335415467057E-05, 100.0
 -0.1100000000000000E+02, -0.7607102705259401E-01, -0.7745635994756948E-05, 100.0
 -0.1089999961853027E+02, -0.7607104428797824E-01, -0.7905914791840045E-05, 100.0
 -0.1080000019073486E+02, -0.7607106197377540E-01, -0.8074761492382305E-05, 100.0
 -0.1069999980926514E+02, -0.7607108012881003E-01, -0.8252823392250181E-05, 100.0
 -0.1060000038146973E+02, -0.7607109877306450E-01, -0.8440812502641140E-05, 100.0
 -0.1050000000000000E+02, -0.7607111792777720E-01, -0.8639513726802561E-05, 100.0
 -0.1039999961853027E+02, -0.7607113761554814E-01, -0.8849794299772022E-05, 100.0
 -0.1030000019073486E+02, -0.7607115786045809E-01, -0.9072614724427388E-05, 100.0
 -0.1019999980926514E+02, -0.7607117868820129E-01, -0.9309041487739446E-05, 100.0
 -0.1010000038146973E+02, -0.7607120012623259E-01, -0.9560261902953036E-05, 100.0
 -0.1000000000000000E+02, -0.7607122220393264E-01, -0.9827601503585006E-05, 100.0
 -0.9899999618530273E+01, -0.7607124495279396E-01, -0.1011254451495487E-04, 100.0
 -0.9800000190734863E+01, -0.7607126840662654E-01, -0.1041675805567688E-04, 100.0
 -0.9699999809265137E+01, -0.7607129260179461E-01, -0.1074212088573978E-04, 100.0
 -0.9600000381469727E+01, -0.7607131757748141E-01, -0.1109075772718475E-04, 100.0
 -0.9500000000000000E+01, -0.7607134337599088E-01, -0.1146508045701630E-04, 100.0
 -0.9399999618530273E+01, -0.7607137004309088E-01, -0.1186783783070686E-04, 100.0
 -0.9300000190734863E+01, -0.7607139762840630E-01, -0.1230217586642007E-04, 100.0
 -0.9199999809265137E+01, -0.7607142618587254E-01, -0.1277171165133810E-04, 100.0
 -0.9100000381469727E+01, -0.7607145577425474E-01, -0.1328062417905115E-04, 100.0
 -0.9000000000000000E+01, -0.7607148645775189E-01, -0.1383376697909684E-04, 100.0
 -0.8899999618530273E+01, -0.7607151830670533E-01, -0.1443680888354156E-04, 100.0
 -0.8800000190734863E+01, -0.7607155139841996E-01, -0.1509641147661835E-04, 100.0
 -0.8699999809265137E+01, -0.7607158581814073E-01, -0.1582045487179720E-04, 100.0
