profundidade, Hreal, Himag, rho 
 -0.1150000000000000E+02, -0.7607078848169836E-01, -0.6525946274688870E-05, 100.0
 -0.1139999961853027E+02, -0.7607080052078911E-01, -0.6632464044941238E-05, 100.0
 -0.1130000019073486E+02, -0.7607081283569940E-01, -0.6744106803725097E-05, 100.0
 -0.1119999980926514E+02, -0.7607082543656779E-01, -0.6861222131408863E-05, 100.0
 -0.1110000038146973E+02, -0.7607083833408800E-01, -0.6984188697713185E-05, 100.0
 -0.1100000000000000E+02, -0.7607085153955093E-01, -0.7113419762641909E-05, 100.0
 -0.1089999961853027E+02, -0.7607086506489000E-01, -0.7249367157520252E-05, 100.0
 -0.1080000019073486E+02, -0.7607087892273132E-01, -0.7392525824897589E-05, 100.0
 -0.1069999980926514E+02, -0.7607089312644931E-01, -0.7543439010410053E-05, 100.0
 -0.1060000038146973E+02, -0.7607090769022730E-01, -0.7702704218039504E-05, 100.0
 -0.1050000000000000E+02, -0.7607092262912404E-01, -0.7870980062961509E-05, 100.0
 -0.1039999961853027E+02, -0.7607093795914840E-01, -0.8048994183035194E-05, 100.0
 -0.1030000019073486E+02, -0.7607095369734279E-01, -0.8237552404154570E-05, 100.0
 -0.1019999980926514E+02, -0.7607096986187357E-01, -0.8437549397401659E-05, 100.0
 -0.1010000038146973E+02, -0.7607098647213394E-01, -0.8649981117463237E-05, 100.0
 -0.1000000000000000E+02, -0.7607100354885855E-01, -0.8875959379782716E-05, 100.0
 -0.9899999618530273E+01, -0.7607102111425129E-01, -0.9116729016178805E-05, 100.0
 -0.9800000190734863E+01, -0.7607103919213026E-01, -0.9373688156398476E-05, 100.0
 -0.9699999809265137E+01, -0.7607105780809047E-01, -0.9648412319223477E-05, 100.0
 -0.9600000381469727E+01, -0.7607107698968531E-01, -0.9942683173250944E-05, 100.0
 -0.9500000000000000E+01, -0.7607109676663872E-01, -0.1025852305618530E-04, 100.0
 -0.9399999618530273E+01, -0.7607111717108271E-01, -0.1059823664251068E-04, 100.0
 -0.9300000190734863E+01, -0.7607113823782767E-01, -0.1096446154377588E-04, 100.0
 -0.9199999809265137E+01, -0.7607116000467729E-01, -0.1136023015611686E-04, 100.0
 -0.9100000381469727E+01, -0.7607118251278867E-01, -0.1178904577858149E-04, 100.0
 -0.9000000000000000E+01, -0.7607120580709170E-01, -0.1225497699141728E-04, 100.0
 -0.8899999618530273E+01, -0.7607122993677641E-01, -0.1276277561173868E-04, 100.0
 -0.8800000190734863E+01, -0.7607125495586430E-01, -0.1331802538620680E-04, 100.0
 -0.8699999809265137E+01, -0.7607128092388428E-01, -0.1392733117896827E-04, 100.0
 -0.8600000381469727E+01, -0.7607130790667123E-01, -0.1459856211655391E-04, 100.0
 -0.8500000000000000E+01, -0.7607133597732352E-01, -0.1534116751939581E-04, 100.0
 -0.8399999618530273E+01, -0.7607136521735312E-01, -0.1616659234562259E-04, 100.0
 -0.8300000190734863E+01, -0.7607139571808653E-01, -0.1708883070141854E-04, 100.0
 -0.8199999809265137E+01, -0.7607142758238129E-01, -0.1812517402736954E-04, 100.0
 -0.8100000381469727E+01, -0.7607146092674881E-01, -0.1929723872428129E-04, 100.0
 -0.8000000000000000E+01, -0.7607149588402415E-01, -0.2063240291469817E-04, 100.0
 -0.7900000095367432E+01, -0.7607153260674561E-01, -0.2216585563996674E-04, 100.0
 -0.7800000190734863E+01, -0.7607157127151964E-01, -0.2394358591457119E-04, 100.0
 -0.7699999809265137E+01, -0.7607161208473380E-01, -0.2602685535144227E-04, 100.0
 -0.7599999904632568E+01, -0.7607165529019105E-01, -0.2849908928717282E-04, 100.0
 -0.7500000000000000E+01, -0.7607170117953241E-01, -0.3147685981547130E-04, 100.0
 -0.7400000095367432E+01, -0.7607175010684750E-01, -0.3512809892040384E-04, 100.0
 -0.7300000190734863E+01, -0.7607180250979306E-01, -0.3970375913997730E-04, 100.0
 -0.7199999809265137E+01, -0.7607185894128186E-01, -0.4559607622205432E-04, 100.0
 -0.7099999904632568E+01, -0.7607192011927633E-01, -0.5345358404393618E-04, 100.0
 -0.7000000000000000E+01, -0.7607198700969560E-01, -0.6442923115564808E-04, 100.0
 -0.6900000095367432E+01, -0.7607196536666186E-01, -0.5168362121993012E-04, 100.0
 -0.6800000190734863E+01, -0.7607193928770795E-01, -0.3893394076885670E-04, 100.0
 -0.6699999809265137E+01, -0.7607190875968020E-01, -0.2617994060444863E-04, 100.0
 -0.6599999904632568E+01, -0.7607187376864501E-01, -0.1342135152095682E-04, 100.0
 -0.6500000000000000E+01, -0.7607183429982507E-01, -0.6578823014908187E-06, 100.0
 -0.6400000095367432E+01, -0.7607179033753671E-01,  0.1211078253306596E-04,   1.2
 -0.6300000190734863E+01, -0.7607174186511062E-01,  0.2488498525556160E-04,   1.2
 -0.6199999809265137E+01, -0.7607168886481284E-01,  0.3766509778630488E-04,   1.2
 -0.6099999904632568E+01, -0.7607163131775212E-01,  0.5045152492063082E-04,   1.2
 -0.6000000000000000E+01, -0.7607156920378051E-01,  0.6324470798358028E-04,   1.2
 -0.5900000095367432E+01, -0.7607163809366919E-01,  0.1128528056547767E-04,   1.2
 -0.5800000190734863E+01, -0.7607170705925895E-01, -0.2585475373564953E-04,   1.2
 -0.5699999809265137E+01, -0.7607177507070197E-01, -0.5362580984095971E-04,   1.2
 -0.5599999904632568E+01, -0.7607184138588048E-01, -0.7509290104563846E-04,   1.2
 -0.5500000000000000E+01, -0.7607190544490268E-01, -0.9210878606284018E-04,   1.2
 -0.5400000095367432E+01, -0.7607196681110323E-01, -0.1058577654647380E-03,   1.2
 -0.5300000190734863E+01, -0.7607202513538384E-01, -0.1171311295708359E-03,   1.2
 -0.5199999809265137E+01, -0.7607208013334794E-01, -0.1264768163701365E-03,   1.2
 -0.5099999904632568E+01, -0.7607213156995514E-01, -0.1342854764911166E-03,   1.2
 -0.5000000000000000E+01, -0.7607217924884817E-01, -0.1408423415323556E-03,   1.2
 -0.4900000095367432E+01, -0.7607222300470283E-01, -0.1463597320927183E-03,   1.2
 -0.4800000190734863E+01, -0.7607226269762538E-01, -0.1509981154137474E-03,   1.2
 -0.4699999809265137E+01, -0.7607229820896584E-01, -0.1548801301369295E-03,   1.2
 -0.4599999904632568E+01, -0.7607232943815155E-01, -0.1581001450951278E-03,   1.2
 -0.4500000000000000E+01, -0.7607235630027176E-01, -0.1607308952882839E-03,   1.2
 -0.4400000095367432E+01, -0.7607237872422354E-01, -0.1628281499279546E-03,   1.2
 -0.4300000190734863E+01, -0.7607239665130290E-01, -0.1644340175846864E-03,   1.2
 -0.4199999809265137E+01, -0.7607241003413701E-01, -0.1655792785792122E-03,   1.2
 -0.4099999904632568E+01, -0.7607241883591290E-01, -0.1662849983713414E-03,   1.2
 -0.4000000000000000E+01, -0.7607242302984134E-01, -0.1665635858790884E-03,   1.2
 -0.3900000095367432E+01, -0.7607242259884402E-01, -0.1664193986345797E-03,   1.2
 -0.3799999952316284E+01, -0.7607241753543494E-01, -0.1658489508631905E-03,   1.2
 -0.3700000047683716E+01, -0.7607240784179610E-01, -0.1648407432666261E-03,   1.2
 -0.3599999904632568E+01, -0.7607239353005359E-01, -0.1633746987531456E-03,   1.2
 -0.3500000000000000E+01, -0.7607237462275941E-01, -0.1614211514377282E-03,   1.2
 -0.3400000095367432E+01, -0.7607235115361194E-01, -0.1589392912696375E-03,   1.2
 -0.3299999952316284E+01, -0.7607232316844435E-01, -0.1558749060998173E-03,   1.2
 -0.3200000047683716E+01, -0.7607229072654895E-01, -0.1521571756110844E-03,   1.2
 -0.3099999904632568E+01, -0.7607225390240750E-01, -0.1476941390766827E-03,   1.2
 -0.3000000000000000E+01, -0.7607221278794307E-01, -0.1423662504151253E-03,   1.2
 -0.2900000095367432E+01, -0.7607216749546494E-01, -0.1360170947948445E-03,   1.2
 -0.2799999952316284E+01, -0.7607211816153968E-01, -0.1284397708568656E-03,   1.2
 -0.2700000047683716E+01, -0.7607206495214350E-01, -0.1193564506300445E-03,   1.2
 -0.2599999904632568E+01, -0.7607200806965780E-01, -0.1083868364111857E-03,   1.2
 -0.2500000000000000E+01, -0.7607194776256211E-01, -0.9499785113850788E-04,   1.2
 -0.2400000095367432E+01, -0.7607188433928147E-01, -0.7842019075760216E-04,   1.2
 -0.2299999952316284E+01, -0.7607181818868425E-01, -0.5750326782280775E-04,   1.2
 -0.2200000047683716E+01, -0.7607174981187888E-01, -0.3044831560653203E-04,   1.2
 -0.2099999904632568E+01, -0.7607167987460173E-01,  0.5718384450930758E-05,   1.2
 -0.2000000000000000E+01, -0.7607160930074860E-01,  0.5628167663645295E-04,   1.2
 -0.1899999976158142E+01, -0.7607168002698698E-01,  0.4388300834565582E-04,   1.2
 -0.1799999952316284E+01, -0.7607174633132978E-01,  0.3153231110135802E-04,   1.2
 -0.1700000047683716E+01, -0.7607180826118126E-01,  0.1923978612549835E-04,   1.2
 -0.1600000023841858E+01, -0.7607186586971416E-01,  0.7019650635932609E-05,   1.2
 -0.1500000000000000E+01, -0.7607191921849962E-01, -0.5107866401796257E-05,   1.2
 -0.1399999976158142E+01, -0.7607196838136424E-01, -0.1711320085968553E-04,  40.0
 -0.1299999952316284E+01, -0.7607201345031356E-01, -0.2895165633785566E-04,  40.0
 -0.1200000047683716E+01, -0.7607205454506809E-01, -0.4055270598347740E-04,  40.0
 -0.1100000023841858E+01, -0.7607209182937223E-01, -0.5179882485124033E-04,  40.0
 -0.1000000000000000E+01, -0.7607212554100069E-01, -0.6247974299041822E-04,  40.0
 -0.8999999761581421E+00, -0.7607208342402823E-01, -0.5225749369055679E-04,  40.0
 -0.8000000119209290E+00, -0.7607204717433970E-01, -0.4505373132585428E-04,  40.0
 -0.6999999880790710E+00, -0.7607201582762359E-01, -0.3975241474762105E-04,  40.0
 -0.6000000238418579E+00, -0.7607198867187133E-01, -0.3572593059038059E-04,  40.0
