profundidade, Hreal, Himag, rho 
 -0.1150000000000000E+02, -0.7607094748675225E-01, -0.7054546412573883E-05, 100.0
 -0.1139999961853027E+02, -0.7607096272509754E-01, -0.7179898709835462E-05, 100.0
 -0.1130000019073486E+02, -0.7607097833447944E-01, -0.7311334329743154E-05, 100.0
 -0.1119999980926514E+02, -0.7607099432910061E-01, -0.7449267246670774E-05, 100.0
 -0.1110000038146973E+02, -0.7607101072395876E-01, -0.7594148509039692E-05, 100.0
 -0.1100000000000000E+02, -0.7607102753490241E-01, -0.7746470416199262E-05, 100.0
 -0.1089999961853027E+02, -0.7607104477870150E-01, -0.7906771268112387E-05, 100.0
 -0.1080000019073486E+02, -0.7607106247311743E-01, -0.8075640781865250E-05, 100.0
 -0.1069999980926514E+02, -0.7607108063698102E-01, -0.8253726286247032E-05, 100.0
 -0.1060000038146973E+02, -0.7607109929028152E-01, -0.8441739827308100E-05, 100.0
 -0.1050000000000000E+02, -0.7607111845426470E-01, -0.8640466344985369E-05, 100.0
 -0.1039999961853027E+02, -0.7607113815153803E-01, -0.8850773112920660E-05, 100.0
 -0.1030000019073486E+02, -0.7607115840618986E-01, -0.9073620674866486E-05, 100.0
 -0.1019999980926514E+02, -0.7607117924392254E-01, -0.9310075560896899E-05, 100.0
 -0.1010000038146973E+02, -0.7607120069219953E-01, -0.9561325129802772E-05, 100.0
 -0.1000000000000000E+02, -0.7607122278041076E-01, -0.9828694963237441E-05, 100.0
 -0.9899999618530273E+01, -0.7607124554005765E-01, -0.1011366933743958E-04, 100.0
 -0.9800000190734863E+01, -0.7607126900495995E-01, -0.1041791542488918E-04, 100.0
 -0.9699999809265137E+01, -0.7607129321149199E-01, -0.1074331204272901E-04, 100.0
 -0.9600000381469727E+01, -0.7607131819884798E-01, -0.1109198397342917E-04, 100.0
 -0.9500000000000000E+01, -0.7607134400934262E-01, -0.1146634315820446E-04, 100.0
 -0.9399999618530273E+01, -0.7607137068875539E-01, -0.1186913842054172E-04, 100.0
 -0.9300000190734863E+01, -0.7607139828672400E-01, -0.1230351585088474E-04, 100.0
 -0.9199999809265137E+01, -0.7607142685719626E-01, -0.1277309261326618E-04, 100.0
 -0.9100000381469727E+01, -0.7607145645895089E-01, -0.1328204778298497E-04, 100.0
 -0.9000000000000000E+01, -0.7607148715620111E-01, -0.1383523497641834E-04, 100.0
 -0.8899999618530273E+01, -0.7607151901930313E-01, -0.1443832311826913E-04, 100.0
 -0.8800000190734863E+01, -0.7607155212557737E-01, -0.1509797389143797E-04, 100.0
 -0.8699999809265137E+01, -0.7607158656028537E-01, -0.1582206751455275E-04, 100.0
 -0.8600000381469727E+01, -0.7607162241778653E-01, -0.1661999291424291E-04, 100.0
 -0.8500000000000000E+01, -0.7607165980291508E-01, -0.1750302476251655E-04, 100.0
 -0.8399999618530273E+01, -0.7607169883265000E-01, -0.1848481927607084E-04, 100.0
 -0.8300000190734863E+01, -0.7607173963813318E-01, -0.1958207478906996E-04, 100.0
 -0.8199999809265137E+01, -0.7607178236714957E-01, -0.2081542465952308E-04, 100.0
 -0.8100000381469727E+01, -0.7607182718719957E-01, -0.2221066366983752E-04, 100.0
 -0.8000000000000000E+01, -0.7607187428935061E-01, -0.2380046270626587E-04, 100.0
 -0.7900000095367432E+01, -0.7607192389312718E-01, -0.2562681434372939E-04, 100.0
 -0.7800000190734863E+01, -0.7607197625281571E-01, -0.2774460009568000E-04, 100.0
 -0.7699999809265137E+01, -0.7607203166572050E-01, -0.3022692822030742E-04, 100.0
 -0.7599999904632568E+01, -0.7607209048319827E-01, -0.3317335786726761E-04, 100.0
 -0.7500000000000000E+01, -0.7607215312572314E-01, -0.3672300668445432E-04, 100.0
 -0.7400000095367432E+01, -0.7607222010400153E-01, -0.4107628713911428E-04, 100.0
 -0.7300000190734863E+01, -0.7607229204949921E-01, -0.4653269170753191E-04, 100.0
 -0.7199999809265137E+01, -0.7607236976024567E-01, -0.5356032604625575E-04, 100.0
 -0.7099999904632568E+01, -0.7607245427280587E-01, -0.6293317280375208E-04, 100.0
 -0.7000000000000000E+01, -0.7607254698213105E-01, -0.7602720475845324E-04, 100.0
 -0.6900000095367432E+01, -0.7607251386110482E-01, -0.6070419485227535E-04, 100.0
 -0.6800000190734863E+01, -0.7607247433277631E-01, -0.4537639230051361E-04, 100.0
 -0.6699999809265137E+01, -0.7607242837806617E-01, -0.3004350127957457E-04, 100.0
 -0.6599999904632568E+01, -0.7607237597676900E-01, -0.1470520210756284E-04, 100.0
 -0.6500000000000000E+01, -0.7607231710746681E-01,  0.6388511438870457E-06, 100.0
 -0.6400000095367432E+01, -0.7607225174742679E-01,  0.1598903333334996E-04,   1.0
 -0.6300000190734863E+01, -0.7607217987250070E-01,  0.3134575126706925E-04,   1.0
 -0.6199999809265137E+01, -0.7607210145700119E-01,  0.4670944710180139E-04,   1.0
 -0.6099999904632568E+01, -0.7607201647357545E-01,  0.6208060219253766E-04,   1.0
 -0.6000000000000000E+01, -0.7607192489305668E-01,  0.7745974145013002E-04,   1.0
 -0.5900000095367432E+01, -0.7607202407442265E-01,  0.1487811015199218E-04,   1.0
 -0.5800000190734863E+01, -0.7607212341264957E-01, -0.2985513108843116E-04,   1.0
 -0.5699999809265137E+01, -0.7607222139532308E-01, -0.6330407361756124E-04,   1.0
 -0.5599999904632568E+01, -0.7607231693182832E-01, -0.8915999626142652E-04,   1.0
 -0.5500000000000000E+01, -0.7607240919894427E-01, -0.1096542205269244E-03,   1.0
 -0.5400000095367432E+01, -0.7607249755443009E-01, -0.1262130203026820E-03,   1.0
 -0.5300000190734863E+01, -0.7607258148474491E-01, -0.1397893514367487E-03,   1.0
