 profundidade, Hreal, Himag, rho
 -0.1150000000000000E+02, -0.7607094982963623E-01, -0.7057328626463806E-05, 100.0
 -0.1139999961853027E+02, -0.7607096509757824E-01, -0.7182740346510923E-05, 100.0
 -0.1130000019073486E+02, -0.7607098073715331E-01, -0.7314237136187876E-05, 100.0
 -0.1119999980926514E+02, -0.7607099676258038E-01, -0.7452233036197506E-05, 100.0
 -0.1110000038146973E+02, -0.7607101318887387E-01, -0.7597179164574851E-05, 100.0
 -0.1100000000000000E+02, -0.7607103003190056E-01, -0.7749567893422020E-05, 100.0
 -0.1089999961853027E+02, -0.7607104730844819E-01, -0.7909937599091494E-05, 100.0
 -0.1080000019073486E+02, -0.7607106503629739E-01, -0.8078878078693472E-05, 100.0
 -0.1069999980926514E+02, -0.7607108323429816E-01, -0.8257036745003818E-05, 100.0
 -0.1060000038146973E+02, -0.7607110192246075E-01, -0.8445125732180236E-05, 100.0
 -0.1050000000000000E+02, -0.7607112112205200E-01, -0.8643930072791078E-05, 100.0
 -0.1039999961853027E+02, -0.7607114085570069E-01, -0.8854317137619621E-05, 100.0
 -0.1030000019073486E+02, -0.7607116114751866E-01, -0.9077247572661454E-05, 100.0
 -0.1019999980926514E+02, -0.7607118202323204E-01, -0.9313788015496325E-05, 100.0
 -0.1010000038146973E+02, -0.7607120351032876E-01, -0.9565125937934823E-05, 100.0
 -0.1000000000000000E+02, -0.7607122563822398E-01, -0.9832587040750312E-05, 100.0
 -0.9899999618530273E+01, -0.7607124843844640E-01, -0.1011765572553496E-04, 100.0
 -0.9800000190734863E+01, -0.7607127194484323E-01, -0.1042199929702266E-04, 100.0
 -0.9699999809265137E+01, -0.7607129619381787E-01, -0.1074749671165275E-04, 100.0
 -0.9600000381469727E+01, -0.7607132122459466E-01, -0.1109627289900588E-04, 100.0
 -0.9500000000000000E+01, -0.7607134707951949E-01, -0.1147073995553216E-04, 100.0
 -0.9399999618530273E+01, -0.7607137380440493E-01, -0.1187364686878843E-04, 100.0
 -0.9300000190734863E+01, -0.7607140144892272E-01, -0.1230813990259919E-04, 100.0
 -0.9199999809265137E+01, -0.7607143006705611E-01, -0.1277783640443746E-04, 100.0
 -0.9100000381469727E+01, -0.7607145971762133E-01, -0.1328691564375651E-04, 100.0
 -0.9000000000000000E+01, -0.7607149046487022E-01, -0.1384023144261354E-04, 100.0
 -0.8899999618530273E+01, -0.7607152237919959E-01, -0.1444345294371095E-04, 100.0
 -0.8800000190734863E+01, -0.7607155553797292E-01, -0.1510324206117525E-04, 100.0
 -0.8699999809265137E+01, -0.7607159002649591E-01, -0.1582747925913591E-04, 100.0
