profundidade, Hreal, Himag, rho 
 -0.1150000000000000E+02, -0.7607078922018735E-01, -0.6526764682731484E-05, 100.0
 -0.1139999961853027E+02, -0.7607080126633561E-01, -0.6633296206368450E-05, 100.0
 -0.1130000019073486E+02, -0.7607081358842525E-01, -0.6744953062217594E-05, 100.0
 -0.1119999980926514E+02, -0.7607082619659654E-01, -0.6862082842102368E-05, 100.0
 -0.1110000038146973E+02, -0.7607083910154720E-01, -0.6985064227723269E-05, 100.0
 -0.1100000000000000E+02, -0.7607085231457075E-01, -0.7114310491429161E-05, 100.0
 -0.1089999961853027E+02, -0.7607086584760403E-01, -0.7250273477601824E-05, 100.0
 -0.1080000019073486E+02, -0.7607087971327649E-01, -0.7393448142263167E-05, 100.0
 -0.1069999980926514E+02, -0.7607089392496606E-01, -0.7544377745084649E-05, 100.0
 -0.1060000038146973E+02, -0.7607090849685928E-01, -0.7703659804836117E-05, 100.0
 -0.1050000000000000E+02, -0.7607092344401871E-01, -0.7871952951988258E-05, 100.0
 -0.1039999961853027E+02, -0.7607093878245717E-01, -0.8049984840388096E-05, 100.0
 -0.1030000019073486E+02, -0.7607095452922068E-01, -0.8238561312736471E-05, 100.0
 -0.1019999980926514E+02, -0.7607097070247991E-01, -0.8438577057545516E-05, 100.0
 -0.1010000038146973E+02, -0.7607098732163181E-01, -0.8651028047791598E-05, 100.0
 -0.1000000000000000E+02, -0.7607100440741575E-01, -0.8877026118026629E-05, 100.0
 -0.9899999618530273E+01, -0.7607102198203997E-01, -0.9117816120054353E-05, 100.0
 -0.9800000190734863E+01, -0.7607104006932706E-01, -0.9374796204567435E-05, 100.0
 -0.9699999809265137E+01, -0.7607105869487685E-01, -0.9649541912235097E-05, 100.0
 -0.9600000381469727E+01, -0.7607107788624766E-01, -0.9943834934600620E-05, 100.0
 -0.9500000000000000E+01, -0.7607109767316875E-01, -0.1025969763345387E-04, 100.0
 -0.9399999618530273E+01, -0.7607111808777701E-01, -0.1059943470847069E-04, 100.0
 -0.9300000190734863E+01, -0.7607113916488875E-01, -0.1096568379759182E-04, 100.0
 -0.9199999809265137E+01, -0.7607116094231284E-01, -0.1136147732484186E-04, 100.0
 -0.9100000381469727E+01, -0.7607118346121280E-01, -0.1179031861827023E-04, 100.0
 -0.9000000000000000E+01, -0.7607120676652457E-01, -0.1225627628882502E-04, 100.0
 -0.8899999618530273E+01, -0.7607123090744441E-01, -0.1276410218576891E-04, 100.0
 -0.8800000190734863E+01, -0.7607125593800042E-01, -0.1331938008959373E-04, 100.0
 -0.8699999809265137E+01, -0.7607128191772831E-01, -0.1392871490005895E-04, 100.0
 -0.8600000381469727E+01, -0.7607130891247051E-01, -0.1459997578116706E-04, 100.0
 -0.8500000000000000E+01, -0.7607133699533199E-01, -0.1534261209280116E-04, 100.0
 -0.8399999618530273E+01, -0.7607136624783312E-01, -0.1616806883472328E-04, 100.0
 -0.8300000190734863E+01, -0.7607139676130807E-01, -0.1709034015698573E-04, 100.0
 -0.8199999809265137E+01, -0.7607142863862303E-01, -0.1812671754643778E-04, 100.0
