profundidade, Hreal, Himag, rho 
 -0.1150000000000000E+02, -0.7607094871750154E-01, -0.7055489687706589E-05, 100.0
 -0.1139999961853027E+02, -0.7607096396668792E-01, -0.7180854628068904E-05, 100.0
 -0.1130000019073486E+02, -0.7607097958707086E-01, -0.7312303096981985E-05, 100.0
 -0.1119999980926514E+02, -0.7607099559285568E-01, -0.7450249071206896E-05, 100.0
 -0.1110000038146973E+02, -0.7607101199904305E-01, -0.7595143601386046E-05, 100.0
 -0.1100000000000000E+02, -0.7607102882148462E-01, -0.7747478988841561E-05, 100.0
 -0.1089999961853027E+02, -0.7607104607695336E-01, -0.7907793535466524E-05, 100.0
 -0.1080000019073486E+02, -0.7607106378321363E-01, -0.8076676960005432E-05, 100.0
 -0.1069999980926514E+02, -0.7607108195909913E-01, -0.8254776592701888E-05, 100.0
 -0.1060000038146973E+02, -0.7607110062460276E-01, -0.8442804480754838E-05, 100.0
 -0.1050000000000000E+02, -0.7607111980097338E-01, -0.8641545564955868E-05, 100.0
 -0.1039999961853027E+02, -0.7607113951082145E-01, -0.8851867119487940E-05, 100.0
 -0.1030000019073486E+02, -0.7607115977823885E-01, -0.9074729688271099E-05, 100.0
 -0.1019999980926514E+02, -0.7607118062893141E-01, -0.9311199801051302E-05, 100.0
 -0.1010000038146973E+02, -0.7607120209036572E-01, -0.9562464815852155E-05, 100.0
 -0.1000000000000000E+02, -0.7607122419193507E-01, -0.9829850313046329E-05, 100.0
 -0.9899999618530273E+01, -0.7607124696514414E-01, -0.1011484056696800E-04, 100.0
 -0.9800000190734863E+01, -0.7607127044381658E-01, -0.1041910274751346E-04, 100.0
 -0.9699999809265137E+01, -0.7607129466432967E-01, -0.1074451566847611E-04, 100.0
 -0.9600000381469727E+01, -0.7607131966588154E-01, -0.1109320410816448E-04, 100.0
 -0.9500000000000000E+01, -0.7607134549079013E-01, -0.1146758000265306E-04, 100.0
 -0.9399999618530273E+01, -0.7607137218483907E-01, -0.1187039216935544E-04, 100.0
 -0.9300000190734863E+01, -0.7607139979766860E-01, -0.1230478669135023E-04, 100.0
 -0.9199999809265137E+01, -0.7607142838323042E-01, -0.1277438072405788E-04, 100.0
 -0.9100000381469727E+01, -0.7607145800030654E-01, -0.1328335333272196E-04, 100.0
 -0.9000000000000000E+01, -0.7607148871311394E-01, -0.1383655812213542E-04, 100.0
 -0.8899999618530273E+01, -0.7607152059201187E-01, -0.1443966400348868E-04, 100.0
 -0.8800000190734863E+01, -0.7607155371432431E-01, -0.1509933264428322E-04, 100.0
 -0.8699999809265137E+01, -0.7607158816531602E-01, -0.1582344424556869E-04, 100.0
 -0.8600000381469727E+01, -0.7607162403934924E-01, -0.1662138771384666E-04, 100.0
 -0.8500000000000000E+01, -0.7607166144126154E-01, -0.1750443769828058E-04, 100.0
 -0.8399999618530273E+01, -0.7607170048803487E-01, -0.1848625038969440E-04, 100.0
 -0.8300000190734863E+01, -0.7607174131081379E-01, -0.1958352409291321E-04, 100.0
 -0.8199999809265137E+01, -0.7607178405738593E-01, -0.2081689213288991E-04, 100.0
 -0.8100000381469727E+01, -0.7607182889525360E-01, -0.2221214925469184E-04, 100.0
 -0.8000000000000000E+01, -0.7607187601548689E-01, -0.2380196630248343E-04, 100.0
 -0.7900000095367432E+01, -0.7607192563761198E-01, -0.2562833580390170E-04, 100.0
 -0.7800000190734863E+01, -0.7607197801591697E-01, -0.2774613921909227E-04, 100.0
 -0.7699999809265137E+01, -0.7607203344770694E-01, -0.3022848474637649E-04, 100.0
 -0.7599999904632568E+01, -0.7607209228433971E-01, -0.3317493146818612E-04, 100.0
 -0.7500000000000000E+01, -0.7607215494628985E-01, -0.3672459695693748E-04, 100.0
 -0.7400000095367432E+01, -0.7607222194426289E-01, -0.4107789359495505E-04, 100.0
 -0.7300000190734863E+01, -0.7607229390972411E-01, -0.4653431376333358E-04, 100.0
 -0.7199999809265137E+01, -0.7607237164070167E-01, -0.5356196301168833E-04, 100.0
 -0.7099999904632568E+01, -0.7607245617375757E-01, -0.6293482386826357E-04, 100.0
 -0.7000000000000000E+01, -0.7607254890384002E-01, -0.7602886897654346E-04, 100.0
 -0.6900000095367432E+01, -0.7607251589470668E-01, -0.6070612466659395E-04, 100.0
