profundidade, Hreal, Himag, rho 
 -0.1150000000000000E+02, -0.7607121749779759E-01, -0.7819934368065291E-05, 100.0
 -0.1139999961853027E+02, -0.7607123837309299E-01, -0.7973124012237477E-05, 100.0
 -0.1130000019073486E+02, -0.7607125979126061E-01, -0.8133825842025817E-05, 100.0
 -0.1119999980926514E+02, -0.7607128177393263E-01, -0.8302553165629877E-05, 100.0
 -0.1110000038146973E+02, -0.7607130434397187E-01, -0.8479865331039992E-05, 100.0
 -0.1100000000000000E+02, -0.7607132752556763E-01, -0.8666372915915527E-05, 100.0
 -0.1089999961853027E+02, -0.7607135134433601E-01, -0.8862743629447080E-05, 100.0
 -0.1080000019073486E+02, -0.7607137582743322E-01, -0.9069709042999264E-05, 100.0
 -0.1069999980926514E+02, -0.7607140100368130E-01, -0.9288072287592411E-05, 100.0
 -0.1060000038146973E+02, -0.7607142690370229E-01, -0.9518716883737951E-05, 100.0
 -0.1050000000000000E+02, -0.7607145356007214E-01, -0.9762616902610683E-05, 100.0
 -0.1039999961853027E+02, -0.7607148100748798E-01, -0.1002084869702226E-04, 100.0
 -0.1030000019073486E+02, -0.7607150928295300E-01, -0.1029460449266659E-04, 100.0
 -0.1019999980926514E+02, -0.7607153842598313E-01, -0.1058520819131590E-04, 100.0
 -0.1010000038146973E+02, -0.7607156847884157E-01, -0.1089413381702204E-04, 100.0
 -0.1000000000000000E+02, -0.7607159948679310E-01, -0.1122302713385138E-04, 100.0
 -0.9899999618530273E+01, -0.7607163149839526E-01, -0.1157373108880158E-04, 100.0
 -0.9800000190734863E+01, -0.7607166456582508E-01, -0.1194831589115123E-04, 100.0
 -0.9699999809265137E+01, -0.7607169874524451E-01, -0.1234911474299528E-04, 100.0
 -0.9600000381469727E+01, -0.7607173409721750E-01, -0.1277876649631500E-04, 100.0
 -0.9500000000000000E+01, -0.7607177068718428E-01, -0.1324026685263529E-04, 100.0
 -0.9399999618530273E+01, -0.7607180858599505E-01, -0.1373703016553371E-04, 100.0
 -0.9300000190734863E+01, -0.7607184787053105E-01, -0.1427296449517996E-04, 100.0
 -0.9199999809265137E+01, -0.7607188862440828E-01, -0.1485256334639406E-04, 100.0
 -0.9100000381469727E+01, -0.7607193093879781E-01, -0.1548101857650382E-04, 100.0
 -0.9000000000000000E+01, -0.7607197491337137E-01, -0.1616436039167455E-04, 100.0
